timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1542210739,3.537023561323077,1.3402654184844485,3.0281988613661794,2.4742578779127777,4.3142113291230535,2.3649227865992635,1.0533161423828952,0.5979309683670391,3.2980227923263503,2.0101677241123177,3.82036366094905,1.995971424321726,0.9737364136459963,5.490108676481475,5.077784384671119,3.7465699512483606,4.819752701738856,12.676152469155165,8.084572232003701,7.585897989107154,0.8
1542210739,4.572947192286571,2.4496543356938596,4.813804585982387,7.298199726753509,5.343462529677718,2.0234343751994146,1.3605237437555986,0.4905136297420401,5.585199373784291,3.019102794901863,5.055604882217904,2.26380948639494,1.0264981373852642,8.211556424450103,9.47593425047674,5.800142541958948,5.6434071806779516,12.39053541658986,10.046541896768458,9.510575303176843,0.8
1542210740,3.806669376241448,2.002589523325026,5.07848866597823,11.833962668992843,6.022332402901842,2.0724912097280863,1.2699067885140092,0.5859293658988947,4.767426996653187,3.422451915198123,4.08382604375704,1.6367440291462172,0.7538740636129855,7.1421620238992,6.331000993883052,4.5975588823370614,3.61579693551427,12.31513717483156,9.75141332478562,8.504147548988717,0.8
1542210740,5.678061400571903,1.969044974679787,4.8797801879249505,7.287328552946996,3.3476140354356723,4.004442305621176,1.1590527848957994,0.6572579221993374,5.9668852113657325,2.7423254185030506,3.863371282923096,2.223587042553871,0.8068329160939492,8.719320141191783,7.708365741234919,3.712280346802786,4.290948731774508,11.542127673906412,8.713483722859912,9.99858598362368,0.8
1542210741,4.79704680724264,1.540835302966079,4.745302561790615,5.940208366037407,6.82765836582754,4.560424408345898,1.588780594304512,0.876455683326527,4.776548986854515,5.6837115559252,6.677317487498223,2.2334948772116334,1.0781504418039987,11.398863625746637,11.819819038884013,5.491897254960388,4.58958451811086,11.271349819871165,6.317085029746178,6.192183859008615,0.8
1542210741,3.9128907592036324,2.2922603182653307,4.937099019208619,6.1322898206383325,1.8897937922750205,2.3445723104037146,1.3534301115917176,0.6322046055890824,6.2599380099727515,3.990863952252665,4.103224631179462,2.308304181487005,1.0517417848786665,6.737694739332903,9.260859357565018,3.4697037194058544,4.279238337176597,11.635913924029506,8.762183571808508,9.49364207593775,0.8
1542210742,4.157140765616617,2.4319549709794943,4.746691601444283,4.37489559191157,2.5502941654541376,5.797082170242319,1.999193735233988,0.8263626973076907,4.286206044618899,4.605370964902758,3.6137936305536136,2.561463692208008,1.0812892890263524,5.291927763414028,6.097883274662414,4.361254749965599,3.939505988439948,12.457425834987978,9.750667462549849,8.64163943011917,0.8
1542210742,4.416121641442659,2.658143144981152,4.858563378368914,6.536502352338138,6.73513618103776,2.267915715226992,1.7158369089280399,0.7952581259677866,2.757322356521652,2.2481705752854872,4.6917067143051945,2.0466267479983635,0.936689252946606,4.720604618590671,7.1343629566595155,9.588776611624361,3.695338856918581,12.129852058854539,6.604461170471512,4.976584498559516,0.8
1542210743,3.386785886014929,2.7508120555171427,5.001486379221869,9.053487740928361,5.7168542841109975,1.873662784365843,0.8005622687505655,0.5318693478113004,3.451876421952084,3.346179601310463,7.342851299984177,1.7562864366848736,0.9709524469479839,5.753057488670086,4.177967993244562,5.494950057654275,4.777382330730013,11.852743107799203,7.255106965148881,6.840656246849045,0.8
1542210743,5.64177935115413,2.5397467846056596,5.754463730509859,7.757766801743186,9.39245448704818,2.3261823209165615,1.4270655639467758,0.7408315097059993,2.849283296427238,2.002888341251285,4.995384282289216,2.951093505915449,0.9482559026660634,6.711704487302109,5.868712281991737,6.009514689199876,3.55911981163303,11.49547576919247,3.4135315140795637,4.124221106046694,0.8
