timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1542128035,6.2048130674848165,2.789656042423129,2.6146116662354144,21.57877501231548,9.34991247272582,3.2549862157284903,1.2328768834044748,0.41885026222033456,7.249611799298728,4.7150127280680945,4.157035522252431,1.7715846661776546,0.7160642793323193,4.231577160200935,3.6836127561476095,11.795116467403576,3.416613602036323,3.4830696804762096,13.524392769023413,12.415310990668406,1
1542128035,3.7775645345439712,2.713865642415784,2.1356947335945917,4.497485389146662,3.9703395520147184,3.1734665716268076,1.0740197470202983,0.5581532710736065,5.552025520576787,5.034387201684247,1.8141454061507059,0.8527099994913425,0.5098898759215563,2.5687675269465142,1.1816834934311526,7.858156910073061,2.315403876728131,3.342626524232035,4.713143597729257,5.015391922043108,1
1542128036,1.7650069425206254,2.4537065230938144,1.9290395825530418,3.5122415020547146,6.905705367018844,5.348533038907745,1.2528625183707536,0.5232884218319683,4.089130328823761,6.840886739470157,3.4342636625467162,0.8986847942988128,0.45230883091592367,1.9220597521884435,1.996576441138881,6.287048389462776,2.8280008731620194,3.345631376503062,2.4414614515188826,4.6098350550488085,1
1542128036,4.076430963518276,1.7299274091633545,2.0362936339840303,6.330503731544835,5.723954189866774,5.190869191697382,0.963980030066426,0.4756929301250844,5.369423647052215,4.355140535159468,3.388835858399034,1.063617322967281,0.5172459648889132,1.393468769952474,4.401355856095265,4.918384412858418,2.208859044911718,3.1472203095931577,7.296308247455646,9.964850729118796,1
1542128037,3.4485285936749257,1.7587361440729437,1.8089832341406968,5.0158891373282195,8.896936490398826,2.391364451003535,0.9842540731869575,0.41051522929071066,2.8515266476008785,4.213068337841036,5.151545933021368,2.1704052433480716,0.9074526762380499,4.971141308152095,7.1082176511125255,7.913814347914467,2.762443398608177,3.1213162745531706,4.310209457725273,5.677859933107007,1
1542128037,5.707310196759729,2.0973396362215144,1.9381711144767082,4.924572362312661,5.565302282535473,3.3452966034512954,1.3296864551830356,0.5721784730556371,6.137321040729475,4.395136094601517,2.9772587517309277,1.6213202429185962,0.6252067803746175,2.302225614005828,4.6516996570150395,4.063107642632422,1.4118884333319315,2.9382961491810318,6.325537877389289,7.770303203766049,1
1542128038,5.255709029806503,2.214228938217538,2.075347430145683,6.244972429021873,7.607132302653564,1.412945313095612,1.1436175950805485,0.3943413127263835,1.9074711718752022,3.958375388922006,2.765222736778197,1.4076647837804035,0.9475628771872762,5.991827121288332,7.495019154778378,5.868343398954933,2.598570383616241,3.0457349208724183,3.6567102937712104,5.315216137614527,1
1542128038,3.081533692456945,1.744825440324183,2.266492678447908,5.02479430823775,6.411305041410335,2.3023827886929413,0.5142596968460089,0.37879507044990157,2.7446771795617866,4.015789694586632,5.412879485228925,1.5685372731194507,0.703776700495333,5.345292878213839,5.838215200266457,2.5043622276934854,1.9873578913713321,3.147701550358573,7.960323458664307,5.6908267028190025,1
1542128038,4.521184306307177,1.8557405375945573,2.2998639108189836,7.208006442045955,6.37876069354988,0.9517380768590775,1.3193371970114371,0.6060328725382959,1.0664827540677784,2.7019226901661813,3.9021468530855294,1.08883068320404,0.665112091428377,5.998728993014604,2.9705360286424414,5.182098612173815,2.1600834650674674,3.2031829751515852,5.1991848305709345,9.395225602393609,1
1542128039,3.782560040777019,1.7319990313322353,1.7140762768303823,2.2018281330924356,2.624183437512073,1.4693926797990093,1.0900863415248334,0.4687242069632685,2.2361715059009124,3.617825211245109,0.3332040341793086,0.9473934622138535,0.44114461037734787,1.002808963281804,1.3823313221008215,6.326353506137086,1.9738605053988185,2.9041977431651484,3.764609294914116,7.318832011514696,1
1542128040,7.18140209887119,2.4104988305154498,2.2154953151039605,3.647504468903202,3.8704027053228396,2.0007918851121476,0.8070078673298643,0.4422249147471803,3.8522969198267516,3.5957468140006066,4.5972516583296335,1.9301223421889604,0.7454069832305303,3.120628123149382,3.928044541125856,3.953081324306428,2.196791631132262,3.16752999384001,6.280339789014269,6.182204083126161,1
1542128040,4.725965313025939,1.7447549288100566,1.9753189534475553,4.560805601085605,4.569035419987811,1.3207814590740992,1.0022710313722158,0.44610495097380215,1.9594911443206051,1.8898188826434743,3.415883573250491,1.3316861658584864,0.5835570855682868,5.738578098897781,4.227963704822095,5.3283061373680445,1.6287511233473149,2.9237076741443477,7.186961138648181,5.946890149102935,1
