timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1542127900,3.2165714514867783,1.685756446038302,1.6517046565655813,5.235724158565427,5.735660580264183,3.096990385432433,1.5988201252991885,0.5867027627055318,6.079354438345744,5.238358990116943,4.7796512161724305,1.3660162845338781,0.875806085455666,5.029620003806551,4.287791783093027,5.49259764092907,1.672464184378869,2.9019689681630347,6.449514023062101,6.518606583856451,0.8
1542127900,4.58999746578462,2.344817478908813,2.0361075764183156,2.918200034067311,6.305882983872394,4.231452819279613,1.5454970640669516,0.6556034723255345,8.204319100072553,6.49416160408272,2.2981122320544696,1.3072481826323707,0.5592568668284423,4.776505432665027,1.8275426279244846,3.937761243171563,1.9518015047578703,3.0071110394931138,5.8723026523572415,8.998696275164372,0.8
1542127901,1.9179173548566955,1.6136823630059578,1.3299645505384095,7.385276926987195,3.066381886204757,1.2136336443304951,0.8575846059284236,0.3636727432168469,3.5493557041390376,3.0991995212421943,1.236979906641331,0.8897649714169543,0.6088902190312184,3.728585782283708,1.689834138318662,4.576023072978109,2.403062487342559,3.243443891427231,5.900338059062858,6.157855265593284,0.8
1542127901,5.212032008085967,2.5244115898259385,2.4638672065718095,7.863565029634094,7.7240027753664275,2.039586385574952,0.6712858452830986,0.4178483538304532,2.447945228714034,2.41546884508237,5.287255644075049,1.5039613845297344,0.9448710269018809,3.4797915163416286,6.109786986612985,4.782338577289025,2.6210628970756376,3.096499893457244,6.840984934658126,7.794172397772369,0.8
1542127902,5.736261302802678,3.9943724643567853,2.971945015065288,6.730244644655457,7.07688824157348,2.8423476645123684,1.7120361769364523,0.8231976415798932,6.418522224644278,4.849183413658693,3.5217479460484236,1.504575598722081,0.6376233041035112,7.946828406760466,9.27456924129795,5.575532601643045,2.5604287924248914,3.638635286007543,12.81914694270766,9.517945479204192,0.8
1542127902,4.34617327215834,2.7736808562736766,2.2418635659877126,3.7260721865838287,7.615747334968684,2.3171736033573738,0.8350408278864828,0.3640929917403452,8.95126186151112,3.86867423412394,4.020164174219592,1.8383858207305903,0.6640766758418094,10.185176355025227,9.709442676622366,5.8651367375581644,2.3188615878434,3.357089706680132,6.538402669736083,7.592409592039843,0.8
1542127903,4.152997596664286,1.4057129620658801,1.8461059008572427,5.395858708827312,5.35721860880342,1.2461772208057844,0.7564400859323639,0.37905015472651304,0.5747331071598689,1.0174417495522792,2.745333361535844,1.0601375342484662,0.48385437695594147,2.12254996745921,2.2699210615934735,2.5113345734476393,2.438123431826469,2.8361050816411306,8.321975485174626,8.178772458541467,0.8
1542127903,10.071126277077603,3.7305433793560283,2.0303403872494172,39.39923672198667,23.790082368966864,2.6569064161014873,0.7219168267665432,0.3589974741917097,10.702589831280516,6.966462005498652,2.340084658999373,1.582783883021789,0.5636607784917065,8.835835540102398,7.884150822344093,5.415311436706869,4.419222834604808,2.849633915919226,20.681834010989647,22.87991210774642,0.8
1542127904,3.762506902623716,2.651074841200858,2.0240941430657258,8.548400341909103,2.836799120605245,3.824278571123257,1.255669518529254,0.4709537495500511,7.642705999805116,5.653736390519612,2.9087157529477934,1.4118699245663922,0.5698673350516732,11.400689573320925,7.960813797332069,3.829100096106549,2.3670772769927364,2.746845910080735,9.288169285667399,10.10948031314709,0.8
1542127904,4.379219812886745,1.6685275934639485,1.5771478261515055,2.2626362045870776,3.8096451374201212,1.0065266274973432,0.847623661150537,0.36264571234196785,2.239938895351787,1.9438130117717383,1.2153545537573769,1.2598046370998601,0.6314992832355555,1.789297978965726,2.792719725462144,2.9437631514642395,1.5203189648463091,2.255803074734217,8.808006301777263,9.204647238399632,0.8
1542127905,2.793768969596874,2.0777519852878896,1.8062527838012987,7.785413513759096,4.542611210634634,7.023385756889215,1.5425338278745728,0.7722219682229529,7.513842973978496,9.14747133550301,3.8902648080572106,1.1329555167735512,0.5183017805979003,13.32221526163516,7.020948978749322,6.0424806894762995,2.4198660127028866,3.0785389920266315,8.874479695809534,7.89704265760704,0.8
1542127905,4.406330537267029,1.6495282400418667,1.9175372524855854,2.790157072403652,3.9519326896206746,3.0045266233430272,1.3602011000568337,0.5252168065694574,4.668075196380904,4.539547974635663,1.9147836686785487,1.349651893952572,0.6692023548520388,3.477349466573544,3.547198937838421,2.2094803843089945,1.4084877779084117,3.081211735436898,10.44152186074269,8.914482421151046,0.8
1542127906,4.177146207290509,1.9823697248494045,1.9395874952300143,7.508088613796522,7.502510695309461,2.1946674468535536,1.340868763534774,0.4175266097237755,10.998167733657027,8.622361043924704,3.1101804103874007,1.8214959131281345,0.7537952315684666,11.664223279996657,12.143615288185412,6.189103352088806,1.774036925114112,2.821710293663585,9.989576994405748,9.991128909845965,0.8
1542127906,2.969878690450454,2.6522947308459557,1.9153200867814337,8.509491531292202,6.559127595158565,4.287581839665279,1.6350653027055246,0.5901826694276305,1.1568668992277986,4.512863274278863,2.331924389525916,1.5772053602024885,0.673444408467191,4.917445349675175,3.5309939994664425,3.794422689973075,2.848746559650423,2.975678817899039,7.914953309807665,8.753317406277635,0.8
1542127907,6.007200892076049,2.0664763866717535,2.2953284382519192,4.1912190731279715,4.877554022838076,1.6220076190435464,0.9758082408772099,0.3724937023337614,3.373295323834725,2.390071190007201,5.050922521507179,2.0346968497093023,0.8208097173541955,4.294400498226713,5.300449150132479,3.271781052347125,2.2960298961975982,2.680343740298305,9.568224309121884,9.60405845891422,0.8
1542127907,4.089690882446374,2.195466656760621,2.0381157938182484,7.755567910927098,10.32255631927293,3.352088604162548,1.410738536659192,0.5034971068470204,9.90978065076096,7.085950610040477,3.259457584845516,1.1410048324339963,0.5255055006579367,9.231058776788146,5.53331157125233,3.6695821124075074,2.3457542536228244,3.2107732513265312,6.558729191280246,10.173079377309268,0.8
1542127908,3.6720090217906534,1.5530878465537468,1.7880220277494223,4.673398964895939,5.76352836410719,2.1125850774607278,1.0181466369810295,0.3507377853586397,4.025662283930656,2.664891805598779,1.6000746280471787,1.0563908434379987,0.611266624733821,2.8553552224697265,3.0308502189489688,5.339829209036293,2.1811754654496647,2.753621465682948,9.511585943262137,7.428656622465418,0.8
1542127908,4.209326696615799,2.1222793136262768,2.1307719391906956,5.890034562185449,7.947922528354598,3.3394207404162564,1.387928284389085,0.48896432172922505,10.813626974149194,7.864309552259827,2.7532440422256492,1.3433851946250979,0.550310230546161,13.189980278893755,9.937211731278367,2.801068087501482,2.349082179901801,2.6186970577611293,9.444303296856896,8.746318021501498,0.8
