timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1543422817,3.1314065814592653,2.2689838467499475,1.8562439448246983,3.488703843331587,3.373263067199253,1.601917321075623,0.9694494535793604,0.5636696636268597,1.037768247091306,1.9007465628961706,1.3737046927680698,0.9043704456958908,0.5492713065615927,1.6271110535412774,1.9056708398853486,5.691349181610719,1.608860915915238,1.8142056918098823,5.888303875705914,10.296246894005291,0.7
1543422817,3.612423987912853,1.5441446942497468,2.1569446635168115,5.063715391921047,6.860312048984041,2.9099563191112563,1.2385771700821813,0.5415233691235617,1.0773615312553102,1.3362801180811865,1.3464330595624572,0.8935988676066314,0.5318628544627811,2.0198208957810397,1.2180035154669377,6.870973041490202,1.968157949099511,1.9032145348545282,8.207846443684375,6.282331775015262,0.7
1543422818,3.010877925368453,2.047773024667178,2.0207550138562236,7.178991228735024,5.555473265497211,1.8214330049004637,0.7833987383989529,0.4493570299877787,1.2109385221604805,2.154338521345545,2.4814227558734805,1.1158018754637284,0.6009006685694713,6.167891401570143,4.9993898003332236,3.915932012341013,2.008118267451068,1.8194233824580899,10.6050411462782,7.978979907285854,0.7
1543422818,7.5507979176396605,2.846254959286986,2.2915207467444167,13.853708340063175,8.600024627885865,2.124196584382504,1.3397477669397222,0.6708364048811378,5.236704436198574,4.520146193095686,2.276271098374746,1.6394761595209213,0.727387611811553,2.9681413829150114,2.266224421084492,7.274113071646542,2.444830905634884,2.031116102516918,5.7725305125208095,8.967787690305869,0.7
1543422819,7.828820965021412,2.139557678382862,1.5916726506330112,12.514374067075801,14.234024134235053,3.0744778052142934,1.4637717552396075,0.6156439445679311,6.381005752882201,4.459487632742335,4.2874950716489115,2.1638431161931164,0.9338835333418489,6.763109128277201,8.601957269924863,4.993663912585798,2.5599791514014307,1.9760929630589101,10.578028181015661,8.574085678446949,0.7
1543422819,4.446815873778285,1.7479032864796447,2.062933896632013,2.8181503780763357,6.874195798157919,0.7036190016441347,1.2646555137737077,0.516769142073436,1.5074378703637064,1.780496154739887,3.503408905150875,1.4631265656080206,0.6696493129083984,4.981758372984624,4.7767048033610395,4.328512503329398,1.9259389273466465,1.6955336734990842,9.880676504340338,9.598617395202961,0.7
1543422820,5.259021083086207,2.0878920099198326,2.1885350482994155,7.094622757258346,4.696256432818763,4.701399401600891,1.685879276839037,0.7003619228813291,8.061884063921537,3.490449883389971,5.283341202518376,1.3523691829742621,0.7151884779093812,4.840285361565811,3.896241456415193,6.256416260975932,1.8110551378967807,1.7928314995186005,7.476606950245058,7.672864800872208,0.7
1543422821,3.665045560625605,1.3943407149541904,1.4945196224443489,3.526195912410474,4.222839999671253,4.115110852010045,1.6535998891210104,0.7621050943641254,4.90779237180108,3.6175808095391226,1.532609864853937,1.1156081575334909,0.48761971772309404,3.196925118725047,3.0495292066261768,4.203382657313063,1.52106041073317,2.006501091845507,7.307440991029328,8.399139936329185,0.7
1543422821,2.5057288535498388,1.7758895582570267,2.0127928758100793,6.2858697336612455,5.832569563630378,0.9514730342865984,1.0853761451309774,0.4267557337922897,1.4337820935898324,1.2182670537654567,1.5700639846736288,1.0686072580219517,0.49876282497070434,2.703390205278957,2.548557613748396,3.833921723450883,1.9898403989878126,1.9137791427117825,6.074604751268625,8.13998340235359,0.7
1543422821,2.902677228932266,1.3564132751099587,1.3749874365504928,5.149356813198298,2.643664008210243,2.0482943618834084,1.0625987069469403,0.4039638829586694,5.16240706981141,3.7684183170136816,3.096828420988876,0.8936758248902746,0.39784692572672326,6.172587656488946,2.9761963628214345,6.738297611705215,2.1383666838531656,1.8939589923209157,5.517108154996347,6.610966361515784,0.7
1543422822,2.9225982688970906,2.0377298129819312,2.169699616418043,8.712976408020491,11.109611182012825,1.2752891329672715,1.2805532430787716,0.4196484849106638,1.493227062704993,0.9416573697658905,1.6315888262086624,0.9282011693867775,0.4962822076987947,2.4004520029121483,1.483128244607634,8.465354434608964,2.284309722246374,1.8596416123210824,1.737286811837103,4.168056519102068,0.7
1543422822,3.069895926690927,2.273073953775535,2.082346008313435,5.895038263090116,4.510595727823485,5.328819307004292,1.0324206859054472,0.5889928508367693,6.348411763842957,4.145094249079878,2.9658473608324027,1.0133126609877836,0.37886753872669043,5.318689421647133,3.8715424856264278,4.901921896111209,2.036529507929064,1.7941858415088299,4.061046680156319,8.354959181332404,0.7
1543422823,4.568713838237592,1.7333456490098935,1.9554302480080654,5.920048504787429,3.1800371471289983,1.716348150711393,0.7809286537355202,0.35917708700352563,0.9006635272144645,0.606617198144734,3.483554562105745,1.341869338243585,0.5756865221850931,5.376715177001502,4.09967256074108,5.098125001641013,1.607046661026037,1.846678512020908,8.50645793600821,8.505631996939178,0.7
1543422824,3.7750129298034776,1.835540475114175,1.9424689540082536,5.026271324903529,5.630759599157311,1.1382968750678142,0.5426007050901535,0.31281414352926173,0.7876086166407755,2.2655801166521363,4.85695594347582,1.5322075584162531,0.7058218689459668,5.091458836628014,3.5628463965429393,3.84724157689892,1.6692137016592883,1.7385758538155391,10.06861516791214,10.505263540743623,0.7
1543422824,3.3197690644986664,1.2641911959373817,2.020836949459921,4.2220941364476525,4.950226564402733,0.9151334203799323,0.9170901355547285,0.40636810945636986,5.506755785919565,3.461117523190638,2.7462244425127404,1.3000111073813863,0.7067146802674064,5.757563249063214,7.2412062841898805,4.735252105554823,1.736795386173287,1.6683581644275938,8.796026716683985,8.46953422305885,0.7
1543422824,3.3551770597063775,1.6053221326025406,2.146748442296883,6.714636838894313,6.011160780049957,1.419385033531965,1.1842795878957326,0.3468214461158647,3.1288258104627666,3.6512912164539344,3.6833502581329487,1.7262523685892601,0.6175843929114327,3.6117700521626137,5.054236938140757,6.834840499147767,1.9892272049422202,1.8470576740778604,8.751569782098713,10.399829177192528,0.7
1543422825,8.14099831669673,1.518464991606905,1.723408417279327,6.577529892945271,6.219847134050382,3.198723976092308,1.2007741420323628,0.38265342096931443,3.809950988185278,2.644704213659807,4.148061904528075,1.3587887415480704,0.6297515719829778,4.18673659954393,3.2651536132785344,5.953814617919768,1.91558043690241,1.8777056192542012,8.360811726067634,9.421408451630917,0.7
1543422825,6.312249961681785,2.0225605960709503,2.0772248623855125,6.628982156244358,6.033596746792778,4.461578518756766,1.0183798746387491,0.4365589250536317,2.697768084030629,1.356870520957545,3.528362262394514,1.121015634057723,0.6563012441999628,4.1882145044229375,4.489583385260408,5.358845960309381,2.161169872731104,1.6998547225930578,7.029826860190112,8.019077486421722,0.7
1543422826,5.99386781083552,1.7048106027340486,2.1343612344310645,6.943729916634021,6.5244363301884505,3.5618105799646553,1.3654185242548003,0.4458846087020402,1.7294156605900932,4.524905446010978,1.6208471214785882,1.3076909828501082,0.6024770525029537,1.8719848205880623,4.333053725403697,4.908537721628003,1.4676259885737422,1.9910057894254716,6.4089084532912395,10.32702462524627,0.7
1543422827,4.767379035714568,1.922500548068052,1.9456104288982365,7.278672497675849,3.448867167926107,3.903498778599085,1.5492423679634664,0.6417003233342005,5.786110241828901,7.4661888928079,1.425313835314607,1.1888865573235767,0.5381903493508503,3.956564451182524,3.1658850620758336,3.8756083569355013,2.2908415914161,1.7479121153024588,5.208217900986457,7.92217524576469,0.7
1543422827,4.48209997154311,1.4559926608858929,1.8909732254311273,6.13939916671764,6.917409411214513,0.9077381842325699,0.9741487815712255,0.43238278587257456,1.9501931818740332,2.2771818989525827,1.6188052833565691,1.0768373217960914,0.52461328151436,2.9112112704277067,2.249074334826569,7.597841678037082,2.2747932798526076,1.9677863486850153,2.645257056812245,6.302950290118993,0.7
1543422827,13.476802384836924,3.168430599652615,2.5206230704177095,19.00831599496318,20.773906976930817,4.260673908477499,1.751157306814801,0.7805788452461656,9.453386985335214,6.796189100933024,4.663400431648139,1.5719846016299792,1.0804109726277462,6.691376524288408,6.8193116751669525,6.151764497794429,3.5328732023809732,2.1508929740580283,12.85758267860194,10.79566059572443,0.7
1543422828,5.755724580630537,3.7751150629604475,2.1084279769803107,22.375898308103764,15.389862177680804,4.052651219263722,1.3884751298406273,0.7381458229607449,7.334715991565689,5.696003944237088,4.706757565651901,1.8164857591532109,1.2532780982024827,5.676740827012437,4.940452037362212,7.5530769483970355,2.299295608683347,2.1413677542225886,13.211597211753762,13.918491833516963,0.7
1543422828,3.729805530244409,1.7037730852878468,1.44525318924346,4.446075451480427,1.5796793684679626,4.235022420007858,2.0557123999162092,0.81684431455002,10.281111990529025,6.362493514054133,3.8651342473739216,1.5563312251989503,0.6983697021432645,7.159100801097296,6.399966996972689,6.227010482452907,1.989631366725976,1.7143528761498048,1.3755657904096703,5.737763150271605,0.7
1543422829,3.33013657039249,1.6229193755871265,2.0069064168867348,3.1486768838308237,5.973754865383402,3.2272566930148883,1.47474504188268,0.6460566093091826,4.181726933876082,3.882146793311912,4.566468277618734,1.7863489921773155,0.8720076430379983,5.691464336840732,8.563680472484087,2.783236734668204,2.249429443358173,1.7921284007855622,7.753924776513711,9.513323003585327,0.7
1543422829,2.270126975895313,1.9276303428390373,1.9105818927256082,10.63780608359793,8.804925124705475,3.006417110569155,1.1483409366153519,0.5811321710436388,5.756548414871217,3.0344658456188727,2.228349918733382,1.6078872323219413,0.6395087569341131,7.243452760164757,4.397319323142336,3.254269486410063,2.4717266592407574,1.7801874709612426,9.59199368121274,8.788609971906128,0.7
1543422830,3.354392267395839,1.6785574114092872,2.015178784922954,6.9666127096629,5.231142834688557,0.5112742694696936,0.8993949648438395,0.5018465411629508,1.719777590842019,1.4405982597097582,2.126793937952265,0.8219970316172879,0.6487148802046799,3.445107690506219,1.8006099496728645,3.384645924057527,1.5301324829277534,1.9277804780550611,2.9936397180230516,6.657341444382043,0.7
1543422830,4.118578853970011,1.2288422676683808,2.07529353078548,4.867211049465765,6.634971950112016,1.120771308777658,0.9688497216633595,0.47988698498678894,2.49401646705169,1.918146366573197,1.3529443884935883,1.080835392324901,0.7170264927140482,2.4330571372089382,1.0887136851756343,3.5751212217665382,2.3663412307103244,1.6824947197963387,10.68846902089506,9.372681262535712,0.7
1543422831,2.2819559012134376,1.653823914607121,1.4532213876556905,4.781010740502837,4.4402148720702534,2.6186970168453843,1.1367648505901014,0.5396328811219969,5.782145259714149,4.36251142275179,2.6072448818221328,1.4332263032845407,0.5669308857413462,4.667938974137361,2.414831160135275,5.509314053030036,1.5988432586624235,1.8135937724467326,4.856923654967515,7.795087072604225,0.7
1543422831,2.2800136207931625,1.6424846139652898,1.4796537982850109,4.520680540460765,6.3881607683365695,1.742533507272241,0.9513686958078321,0.43395840034022015,1.4506325592548077,2.186402999943127,1.9029872041477285,1.4030176223729935,0.5494517715900461,0.49301593963921597,0.8761313443743791,6.954597908320802,1.7323937504945506,1.846024769766789,8.303868364238259,7.039307852121821,0.7
1543422832,1.7881133765622688,1.89146802977236,1.4407314978177395,4.947468269568078,4.6933331046775795,4.01897606833813,1.6671354484088379,0.521380491905864,5.643223715253175,3.5041811375942644,1.4864538700156844,0.7237831975769639,0.4391482082136238,6.324784676798256,3.140099968112473,4.7904412768015865,1.9565339219489368,1.7771068738112312,9.334502929191672,7.687687234362306,0.7
1543422832,3.793563362992599,1.8955391126370111,2.164877092522955,6.437419013777317,6.158094537888829,1.0867531129105126,0.7860490044850009,0.34780909250955155,1.7991554704744888,2.482977916018878,3.3818972205266924,1.5719004728844654,0.6050430860985198,5.222972772515016,6.039253352263441,3.7566497719976106,2.147401893075625,1.7648107958772523,6.1076620047517896,8.109591678577917,0.7
1543422833,4.769002510871374,1.909524009012441,2.117083102366648,5.6824902087651115,5.664338254835117,2.587747309786556,1.2649075947185382,0.5278351224803318,4.667986649586082,4.557904061201007,4.7129035820574225,0.8896602271208626,0.6433318959163129,5.9351927191744345,5.063612804522662,2.818507424726588,1.3250481428286793,1.5972793874569085,8.040443263453565,8.668621870922092,0.7
1543422833,7.64108578770599,1.9256341535394053,2.1916850350966754,3.106001320748779,4.6999324633455615,6.656665132627672,1.4660389501075708,0.8859799809705604,5.13916503192936,6.236170132901264,4.312125950200636,1.506785925659398,1.219381865206477,7.2269594888554245,6.787048884571332,3.4034803670441627,1.9110863869230625,1.8231945822938007,4.771353565210375,6.916518702257978,0.7
1543422834,5.171471562404104,1.7192410353868102,1.9660976828649794,4.61913341746873,5.942328291491711,3.6302958447952576,1.0636294431384279,0.600125110993601,4.603044307444499,5.192199275949122,1.2977309040337055,0.9799015959504378,0.46402895605847033,0.7354870107287337,1.4868290430815507,4.951994994819021,1.4577419959188067,1.8608690112367698,8.848798714276004,10.877110438911359,0.7
1543422834,3.3741986493078833,1.7237290003435681,2.0370072185563584,6.455199936798085,5.351298011853585,4.074412213386444,1.5389176059991019,0.6620272380271764,8.199027586051272,6.3236858629061565,4.11298868467117,1.4925207849702213,0.696336587938321,6.2752876156772235,3.3111146993866383,6.971495922642177,1.673779464555745,1.8719588996265664,5.14818203593735,3.4975304938319014,0.7
1543422835,4.965852926107759,1.3347725758272462,1.993206014462737,4.451006294399198,7.7875446309467105,1.1701076875757297,0.6073951699267545,0.3985883617723541,2.5831629482419842,3.2129684895462747,1.8175078898774577,0.5893589281146192,0.4396922305256509,1.3922080019840204,1.6016999540638077,5.605785337705598,2.292715062031248,1.984142303764748,4.048213658179919,7.53652623828992,0.7
1543422836,7.299816940489287,1.7137509358321852,1.426369245409933,9.44618623063494,6.346973089043297,4.890633123340177,1.6998211570953963,0.6788707446740709,8.713574872880349,3.9178018650377986,4.623692026609883,1.5308781195832055,0.6018916004247356,3.9611921338697056,2.5055085404295476,5.720283119040111,2.8207162072833247,2.017647220660744,5.749452409057216,8.385695607380988,0.7
1543422836,4.275382659428634,1.9353188510954717,1.996450844180459,3.800604289269555,5.799234115020245,3.0320344311320437,1.2817670913612047,0.35923561238100615,3.2520181593994124,2.877409940058761,4.404908242390261,0.8482088940117737,0.5432986824502775,1.3895160488200766,1.9040606199128025,7.146505184129734,1.5281393283066211,1.7688366426983602,4.492530897689524,6.231606609702469,0.7
